G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40
7.1151000	9.3293000	9.5997000	6.9998000	7.4955000	8.8540000	9.6438000	8.0483000	7.8193000	6.6930000	7.7925000	7.4508000	7.6958000	8.6712000	10.0200000	6.5252000	10.8760000	7.6580000	7.8911000	12.5210000	9.6420000	9.9453000	11.7230000	9.9122000	8.6045000	9.1613000	8.9423000	10.9660000	10.4430000	8.2864000	6.9731000	8.5432000	6.7587000	9.3698000	8.9006000	7.4371000	8.1442000	8.1155000	9.0432000	5.5961000
7.2840000	9.2212000	9.4961000	6.8697000	7.4101000	8.8075000	9.1561000	8.3685000	7.8133000	6.9091000	7.5915000	7.5197000	7.6964000	8.6176000	10.9690000	6.5322000	10.6910000	7.8333000	7.9216000	12.5060000	9.5750000	9.8074000	11.6230000	9.8436000	8.5921000	9.1578000	9.1819000	10.1150000	10.4380000	8.0590000	7.0445000	8.4940000	7.0591000	9.2077000	8.8398000	7.2781000	8.0094000	8.0134000	8.9031000	5.7145000
6.6090000	8.6310000	10.2730000	7.0817000	7.5102000	8.3077000	9.2641000	9.1081000	7.2929000	7.2205000	8.2056000	6.3409000	7.2778000	8.0291000	11.2290000	6.1271000	9.8207000	8.1185000	7.3589000	12.1970000	9.3142000	9.1585000	12.2960000	9.1949000	8.4821000	8.4024000	10.2990000	10.4690000	9.4562000	10.1390000	7.2638000	8.5276000	6.9810000	8.6327000	8.4180000	8.3548000	7.5695000	7.5556000	9.0067000	6.2012000
6.4579000	8.7221000	10.1430000	7.0796000	7.4146000	8.2493000	9.5136000	8.9252000	7.0312000	7.0164000	7.5653000	6.5099000	7.2073000	7.9725000	8.2924000	6.2246000	10.2070000	7.9257000	7.2813000	12.6170000	9.3657000	9.3450000	12.0310000	9.1492000	8.1717000	8.4087000	9.9236000	10.3570000	9.1744000	8.5383000	7.2075000	8.5165000	7.0666000	8.8997000	7.9806000	8.2523000	7.4824000	7.5505000	8.7529000	6.0303000
6.6933000	8.6554000	10.0250000	7.0943000	7.5755000	8.1735000	9.3911000	8.9831000	7.0007000	6.8017000	7.5595000	6.6561000	7.1230000	8.0144000	8.8704000	6.0375000	10.0300000	7.8301000	7.0581000	12.4280000	9.2376000	9.2983000	12.0180000	9.1504000	8.1351000	8.2527000	9.5105000	10.8880000	9.3021000	10.5090000	7.0562000	8.5263000	7.1434000	8.6156000	7.9201000	8.2225000	7.4519000	7.5791000	8.7370000	6.1622000
6.6903000	8.4474000	10.5120000	7.3964000	7.4651000	8.4608000	8.9367000	8.6947000	7.5802000	5.8636000	10.6270000	6.8230000	7.1757000	8.7081000	8.4863000	6.8333000	10.3970000	8.0513000	7.4446000	11.5950000	8.6190000	10.1100000	11.0880000	9.8390000	8.3454000	9.3934000	9.6984000	8.5513000	8.9019000	10.5050000	7.3643000	8.0616000	7.4203000	9.3138000	8.4049000	8.3802000	8.0628000	8.5127000	9.5517000	5.5771000
6.9693000	8.3946000	10.5870000	7.2210000	7.6309000	8.5804000	8.8050000	8.3256000	7.4905000	5.9857000	10.8400000	6.7510000	7.2971000	8.8096000	11.2280000	6.7236000	10.3920000	6.8504000	7.7916000	11.2670000	8.1217000	10.2150000	11.3330000	9.7355000	8.5541000	9.2938000	9.5343000	10.9540000	8.9528000	8.6089000	7.3857000	8.1826000	7.0869000	9.2017000	8.6907000	8.1938000	8.1516000	8.7648000	9.8576000	5.2625000
7.4548000	8.5799000	9.4264000	7.4652000	7.7096000	8.8743000	9.0434000	8.6469000	7.6981000	5.8101000	7.8565000	6.6447000	14.0530000	8.6349000	11.3670000	6.2857000	10.9470000	8.1934000	7.8483000	11.8470000	7.8647000	9.0661000	8.2001000	11.9910000	8.7111000	8.2926000	10.6450000	11.2730000	9.0983000	9.5259000	7.2405000	8.3141000	7.4660000	9.2566000	9.0746000	8.4653000	8.4051000	8.5681000	8.5897000	5.8799000
7.1306000	8.4751000	9.3632000	7.5801000	7.9051000	8.7786000	9.1588000	8.8258000	7.7905000	5.8792000	7.8864000	6.6647000	14.1110000	8.6174000	9.9032000	6.5662000	10.7690000	7.6848000	7.8470000	12.3230000	7.7220000	9.0955000	8.2060000	12.0110000	8.4987000	8.2371000	10.7300000	10.7950000	9.0330000	8.7075000	6.6331000	8.2155000	7.2726000	8.5879000	8.8958000	8.2762000	8.4584000	8.4434000	8.4118000	5.6805000
6.8591000	8.7455000	9.4315000	7.0262000	7.5886000	8.6439000	9.2495000	8.7109000	7.5694000	6.8634000	8.0850000	6.3565000	7.6532000	8.5005000	9.1088000	7.9309000	10.6910000	7.8716000	8.3372000	12.1280000	8.5465000	9.3976000	11.3180000	9.8572000	8.7000000	9.9244000	10.2450000	8.7233000	9.5949000	7.9702000	7.4440000	8.4895000	7.5882000	8.7190000	8.9033000	8.5915000	8.0646000	8.3449000	8.9211000	5.5003000
6.8253000	8.6503000	9.3550000	6.9238000	7.5100000	8.6296000	9.2206000	8.8654000	7.4788000	6.7764000	8.3635000	6.3099000	7.4838000	8.3955000	11.2460000	7.8910000	10.7610000	7.7207000	8.3390000	12.8310000	8.7303000	9.6280000	11.4110000	9.7381000	8.5075000	9.9383000	10.5600000	10.4930000	9.4755000	10.3620000	7.3662000	8.3863000	7.7178000	9.6963000	8.7095000	8.7237000	8.0440000	8.5006000	9.0229000	5.4093000
7.2875000	8.0248000	9.6607000	6.9393000	7.7921000	8.5769000	11.0400000	8.3849000	7.0826000	6.1158000	7.1452000	9.8978000	6.8269000	8.3158000	8.6796000	7.2805000	9.4960000	8.6173000	9.3102000	12.3040000	7.4368000	8.8914000	11.1250000	9.8096000	8.7191000	8.5432000	10.9220000	11.1830000	8.0853000	10.4990000	5.7315000	8.8656000	6.8993000	9.0751000	8.6902000	7.1305000	7.8243000	8.1487000	8.8652000	5.1939000
6.3187000	8.7266000	10.0250000	6.8279000	7.3675000	8.5470000	12.3730000	8.7902000	7.0126000	6.3463000	6.9006000	6.4076000	9.6371000	7.4092000	9.6184000	6.1415000	9.7344000	7.7842000	7.5670000	12.6340000	9.3214000	9.1611000	12.2260000	9.0890000	8.1304000	8.2285000	9.6009000	10.7410000	9.1509000	8.1551000	6.7782000	8.3602000	7.1414000	9.0874000	7.9950000	8.1087000	7.2884000	7.2151000	8.9804000	5.5876000
6.4266000	8.8085000	9.9814000	7.0307000	7.2954000	8.5147000	12.6500000	8.8255000	6.9106000	6.0819000	7.0752000	6.7258000	9.7099000	7.6779000	11.3620000	6.1526000	9.7364000	7.9340000	7.7050000	12.9640000	9.2842000	9.0365000	12.2590000	9.0570000	8.3346000	8.2917000	9.6077000	10.9840000	9.1144000	10.1300000	7.1190000	8.4083000	7.2622000	9.2449000	8.1299000	8.2045000	7.2556000	7.3098000	8.8756000	5.7670000
6.0099000	8.7380000	9.9529000	6.5377000	7.8314000	8.5420000	12.4420000	9.0722000	6.6421000	6.7183000	7.1147000	6.1690000	9.3236000	7.6961000	8.4711000	5.7468000	9.8040000	7.6622000	7.8171000	12.4750000	9.5451000	8.9679000	12.4360000	8.9477000	8.0312000	8.2789000	9.6926000	10.0760000	9.3410000	7.8146000	7.1866000	8.2088000	7.0300000	8.9521000	8.1560000	8.2200000	7.3540000	7.0951000	8.8098000	5.8749000
6.8073000	8.3855000	10.3060000	6.6740000	7.4076000	8.4223000	13.1220000	8.0779000	7.3082000	5.6884000	7.0260000	6.1354000	7.1915000	8.2267000	10.6920000	6.0890000	11.1060000	7.2918000	8.2998000	12.2990000	9.5936000	9.6895000	12.0120000	9.5214000	7.9496000	9.1447000	11.2920000	11.0330000	9.9104000	7.7389000	7.9705000	8.1696000	6.7733000	9.4900000	8.3706000	8.1800000	7.8315000	8.0189000	9.0331000	5.2414000
6.8713000	8.2979000	9.9945000	6.5869000	7.0470000	8.6823000	13.1830000	8.4529000	7.6459000	5.6761000	6.9355000	5.9504000	7.4559000	7.9827000	9.0145000	6.1062000	11.0930000	7.4056000	8.2812000	11.8350000	9.8458000	9.7781000	11.7960000	9.7075000	8.2061000	9.0765000	11.9830000	10.8390000	10.1580000	8.1392000	8.0992000	8.5788000	6.9841000	9.2042000	8.5283000	8.0425000	7.5582000	7.9031000	8.6689000	5.2781000
5.9500000	9.1940000	10.5800000	6.8681000	7.3449000	8.2177000	12.4260000	8.2722000	7.0215000	5.9676000	7.3103000	6.8404000	8.0847000	7.7569000	8.3909000	5.9389000	9.9580000	7.6725000	7.2804000	12.4220000	9.9169000	9.2946000	11.8860000	8.6314000	8.0037000	8.5923000	10.4800000	8.7532000	10.0710000	7.7359000	7.5702000	8.5006000	6.7555000	8.7676000	8.3554000	7.6274000	6.8666000	7.2963000	8.8930000	5.7725000
5.8843000	9.2211000	10.4380000	6.7642000	7.3296000	8.1700000	12.6550000	8.3229000	7.0676000	5.9411000	7.5994000	6.9260000	7.8355000	7.6593000	9.9713000	5.8842000	9.9570000	7.7822000	7.1493000	12.6700000	9.9190000	9.2240000	11.9170000	8.7637000	8.0732000	8.4262000	10.4360000	8.5545000	9.8861000	9.7299000	7.5013000	8.4451000	6.8630000	9.3933000	8.2490000	7.5992000	6.9048000	7.2821000	8.7254000	5.8677000
6.2090000	9.8162000	10.3400000	6.9487000	7.1607000	8.0200000	12.6180000	9.5553000	6.9917000	6.2044000	7.6058000	7.4420000	8.2339000	7.5823000	8.5139000	6.0451000	9.9680000	7.7094000	7.0081000	12.7370000	10.3050000	9.4743000	12.2930000	8.6310000	7.8137000	8.5333000	10.9830000	10.4000000	9.5964000	8.1551000	7.1621000	8.3877000	6.6446000	9.8346000	8.2373000	7.0311000	7.0239000	7.0797000	9.1479000	5.8842000
6.7460000	8.5683000	9.9998000	6.6267000	7.0658000	8.3252000	12.9640000	8.3903000	7.1503000	5.7860000	6.6871000	6.9328000	7.9884000	8.0773000	8.3331000	6.1951000	10.8290000	7.3554000	7.8733000	12.5190000	9.4215000	10.0920000	11.6490000	9.4053000	8.1778000	8.9389000	11.1820000	10.8380000	9.7967000	9.0268000	7.3193000	8.2689000	7.0898000	9.1010000	8.2523000	7.7186000	7.6981000	7.7675000	8.9818000	5.2994000
6.8574000	8.7534000	10.0000000	6.6547000	7.2146000	8.4953000	13.0210000	8.5947000	7.1841000	6.1132000	6.6213000	7.0195000	8.0077000	8.2013000	10.2590000	6.1229000	10.8950000	7.4332000	7.7629000	12.6440000	9.5470000	10.2370000	11.7740000	9.4208000	8.3129000	9.0675000	10.9870000	11.3560000	9.7021000	7.9654000	7.2794000	8.3999000	7.0084000	9.3430000	8.3343000	7.5183000	7.7123000	7.6525000	9.0792000	5.4068000
6.7429000	8.4494000	10.2970000	7.2945000	7.5844000	8.6622000	8.8947000	8.4801000	7.6092000	6.0115000	10.0180000	6.6934000	7.2230000	8.7829000	8.8770000	6.8816000	10.4300000	7.9980000	7.8148000	11.6750000	8.3370000	9.6095000	11.0650000	9.7422000	8.7376000	9.2568000	9.6918000	9.6874000	9.2575000	9.5259000	7.2191000	7.9160000	7.5617000	8.6156000	8.7314000	8.2172000	8.1953000	8.5166000	9.6209000	5.3495000
7.1149000	8.1613000	10.3130000	6.9668000	7.4778000	8.6818000	8.5929000	8.6310000	7.6540000	5.9892000	10.2260000	6.5816000	7.2521000	8.6075000	8.7484000	6.9928000	10.3180000	7.9555000	7.9449000	11.3850000	8.4316000	9.6232000	10.9960000	9.7349000	8.7588000	9.3620000	9.8555000	10.6240000	8.9403000	7.9158000	7.2417000	8.0654000	7.4745000	9.3820000	8.8005000	8.0547000	7.9611000	8.5499000	9.4616000	5.5808000
7.2273000	7.7065000	9.7437000	6.9710000	7.4298000	9.0676000	7.1703000	10.1280000	7.9051000	7.3779000	9.3159000	6.3297000	8.2555000	9.3350000	12.0120000	6.2351000	8.8396000	8.5726000	10.3090000	10.4700000	8.2766000	9.7823000	11.4710000	10.6960000	8.4042000	8.5177000	12.0000000	10.6890000	8.6717000	9.3973000	7.9334000	8.0988000	7.2714000	8.1280000	8.9789000	7.2712000	7.4467000	9.1377000	8.3491000	6.5871000
6.9337000	8.3805000	9.2126000	7.0834000	7.4966000	8.6206000	8.3545000	8.7347000	7.2865000	6.6426000	8.7293000	6.5720000	7.7068000	8.3701000	8.5285000	8.3590000	10.8020000	8.0013000	7.9489000	13.2290000	8.4935000	9.7155000	10.7660000	9.9390000	8.4349000	9.4542000	10.8900000	9.4278000	9.3792000	8.2204000	7.3173000	8.4793000	7.5371000	9.4911000	8.7224000	9.6160000	8.1922000	8.5923000	8.8607000	5.7678000
6.7368000	8.3997000	9.2740000	7.1132000	7.4724000	8.7845000	8.4793000	8.8260000	7.6412000	6.3879000	8.2599000	6.6379000	7.5779000	8.1971000	10.2380000	8.2818000	10.6630000	8.0086000	7.9754000	12.8560000	8.3648000	9.6901000	10.6550000	9.8507000	8.3858000	9.5039000	10.9960000	10.6250000	9.0609000	8.4835000	7.0998000	8.5361000	7.6972000	9.4797000	8.9463000	9.3121000	8.1523000	8.3612000	8.8742000	5.2857000
8.4421000	8.3252000	8.7302000	7.8847000	9.0655000	8.6940000	13.1440000	7.7087000	8.1172000	8.0011000	7.8106000	7.6543000	7.2694000	8.7201000	10.5990000	8.3969000	9.5952000	8.9852000	7.4069000	11.2990000	8.0967000	8.4917000	8.3346000	10.5880000	9.3336000	8.4899000	9.3842000	10.8480000	7.6062000	7.8867000	7.0843000	8.6845000	7.1575000	9.4441000	8.4561000	8.4449000	8.7176000	8.5321000	9.4755000	5.6741000
6.9063000	8.6841000	9.8677000	8.6603000	7.7428000	8.4001000	11.2590000	8.4182000	7.3439000	5.9381000	7.6306000	9.1911000	7.0051000	8.5761000	10.1680000	7.5651000	9.9861000	8.8585000	9.3072000	11.8690000	7.7604000	9.1304000	10.9040000	9.9292000	8.8585000	8.8001000	10.4090000	10.2770000	8.6490000	8.8218000	6.3960000	8.4878000	7.4632000	8.6576000	8.8230000	8.7843000	8.2460000	8.4115000	9.0029000	5.4530000
6.8745000	8.6202000	9.5910000	7.1294000	7.4881000	8.5948000	10.2850000	8.6249000	7.3774000	7.2637000	7.3978000	6.5030000	7.6574000	8.4211000	11.3630000	6.5091000	10.1660000	7.6445000	7.8061000	12.3230000	8.8028000	9.0384000	11.5970000	9.5626000	8.6930000	9.1058000	9.0617000	8.7337000	9.9118000	7.9404000	6.6328000	8.1418000	7.3165000	8.5411000	8.5184000	7.8983000	7.9768000	7.9270000	8.9068000	5.3184000
6.8113000	8.5749000	9.4647000	6.9699000	7.8147000	8.5156000	10.7650000	8.5883000	7.3107000	7.0114000	7.5288000	6.5945000	7.6043000	8.4258000	10.7630000	6.8444000	10.2010000	7.6960000	7.6319000	12.8130000	8.7492000	8.9801000	11.6390000	9.6903000	8.7303000	9.0423000	8.9922000	10.9280000	9.8586000	8.3621000	6.4880000	8.2159000	7.3552000	8.4870000	8.6569000	8.0617000	8.0355000	8.2351000	8.9372000	5.3587000
6.9927000	7.6265000	9.5971000	7.8027000	7.3252000	8.9512000	7.2782000	7.4292000	7.1779000	5.6213000	8.3881000	6.8339000	7.8470000	8.3503000	10.5950000	6.9274000	8.4200000	7.5863000	6.6782000	13.8870000	8.0853000	9.5996000	8.6865000	10.2460000	8.0038000	8.8811000	11.8010000	11.6670000	7.3455000	9.0281000	6.4206000	8.8394000	7.3164000	8.4827000	8.3204000	9.1979000	7.8888000	8.1634000	7.6173000	6.3321000
6.8382000	7.9237000	9.5735000	7.1976000	6.9167000	8.9078000	7.3077000	7.8981000	7.0550000	5.8123000	8.4480000	6.8415000	7.7677000	8.1203000	8.5210000	6.9110000	8.1389000	8.3275000	6.6571000	13.7190000	8.1477000	9.3900000	8.7259000	10.1430000	7.9615000	8.4052000	11.7470000	10.1220000	7.3831000	7.6641000	6.5134000	8.9544000	7.2709000	9.0229000	8.4403000	9.1088000	8.0174000	8.0621000	7.6780000	6.6656000
6.9980000	7.6414000	9.5716000	7.0579000	6.9752000	8.6465000	7.2584000	7.8406000	7.1156000	5.4451000	8.2350000	6.8489000	7.5032000	8.4296000	8.4728000	6.8580000	8.5850000	8.0303000	7.0244000	13.6520000	8.2882000	9.3994000	8.8341000	9.6746000	7.8719000	8.3289000	11.8380000	10.8410000	6.7867000	7.7246000	6.6306000	8.6410000	7.2008000	9.5730000	8.4574000	9.4192000	7.7022000	7.7780000	7.7695000	6.5880000
6.6007000	8.8622000	9.4793000	7.0947000	7.2672000	8.7390000	9.3831000	8.7075000	7.5734000	7.0196000	8.4932000	6.2973000	7.5567000	8.4268000	10.3820000	7.8988000	10.8230000	8.4568000	8.2561000	12.2560000	8.8877000	9.3705000	11.5640000	9.5461000	8.7860000	9.5704000	10.2880000	10.9620000	9.6000000	9.3973000	7.5000000	8.4068000	7.7975000	9.1683000	8.6925000	9.0766000	7.8885000	8.3917000	8.8200000	5.5347000
6.9505000	8.5187000	9.2572000	7.3102000	7.4811000	8.9663000	9.0470000	8.5396000	7.6154000	6.9089000	8.1826000	6.4906000	7.6894000	8.4144000	9.7857000	7.5469000	10.6260000	7.7963000	7.9602000	12.4660000	8.6201000	9.2937000	11.4680000	9.7123000	8.6602000	9.2619000	9.9152000	10.5900000	9.1928000	8.4223000	7.2754000	8.5149000	7.6190000	8.4052000	8.8160000	8.8548000	8.1952000	8.7816000	8.8265000	5.8040000
7.4325000	8.2534000	9.0429000	7.6980000	8.4029000	8.5366000	8.6565000	8.2862000	7.0384000	6.2394000	8.8043000	6.5916000	7.6651000	8.6492000	11.0090000	7.8421000	10.7020000	6.8580000	7.4490000	12.5180000	7.4722000	8.9555000	8.3412000	10.2970000	7.8225000	9.6049000	11.0330000	11.4570000	9.2360000	9.3658000	7.4609000	8.2287000	6.9493000	9.0768000	8.7316000	9.0958000	8.4109000	8.6001000	9.0198000	5.3029000
6.8622000	8.3259000	9.9252000	6.9239000	7.2311000	8.4672000	12.4580000	7.9907000	7.1805000	8.1030000	6.9241000	5.9787000	9.2123000	8.1842000	10.8590000	6.4755000	10.6000000	7.4323000	8.0745000	12.7070000	8.9870000	9.2765000	11.8530000	9.4017000	8.2616000	9.3678000	10.6610000	10.9260000	9.4588000	8.9422000	7.7301000	8.3594000	7.2404000	9.5011000	8.2942000	7.8866000	7.7009000	7.8509000	9.0022000	5.3739000
6.9607000	8.4277000	9.9563000	6.9763000	7.3596000	8.4869000	12.6300000	8.1698000	7.0411000	7.6824000	6.7651000	6.1984000	9.4471000	8.3879000	11.6730000	6.7426000	10.5000000	7.3236000	8.2478000	12.5230000	8.9238000	9.1199000	11.6760000	9.3873000	8.5924000	9.3041000	10.5410000	11.8340000	9.5230000	7.9842000	7.5627000	8.1720000	7.2621000	8.7951000	8.2611000	7.8903000	8.0256000	7.9155000	9.0413000	5.3402000
7.3695000	8.6341000	9.2534000	6.9009000	7.6962000	8.6561000	8.5380000	8.6126000	7.4968000	5.6505000	7.2943000	11.3630000	7.4372000	8.2694000	10.6660000	6.1150000	11.0260000	7.9804000	7.6864000	12.0420000	8.4933000	9.1663000	9.7370000	10.2650000	8.2951000	9.3004000	10.9900000	9.7889000	9.7057000	8.3133000	6.5672000	9.2930000	7.1571000	9.0502000	8.7014000	7.3493000	8.2502000	8.2003000	8.5688000	5.6429000
7.3971000	8.6396000	9.4582000	6.9256000	7.4218000	8.6722000	8.9080000	8.6950000	7.4349000	5.8241000	7.4578000	11.4400000	7.5609000	8.2119000	8.5900000	6.3079000	11.1340000	7.9842000	7.6291000	12.0880000	8.6505000	9.0771000	9.9722000	10.0640000	8.3060000	9.1174000	11.1220000	11.2810000	10.0270000	9.3994000	6.5021000	9.2340000	7.2395000	9.3424000	8.6218000	7.0982000	8.0469000	8.0380000	8.4564000	5.7924000
