program,script,num_threads_total,num_features,distribution_type,duration,start,end
java,MainCLI,1,full,demain,0:43:12,2025-05-23 05:37:00,2025-05-23 06:20:12
java,MainCLI,1,full,demain,0:42:08,2025-05-23 06:35:12,2025-05-23 07:17:20
java,MainCLI,2,full,demain,0:22:20,2025-05-23 04:22:32,2025-05-23 04:44:52
java,MainCLI,2,full,demain,0:21:55,2025-05-23 04:59:52,2025-05-23 05:21:47
java,MainCLI,4,full,demain,0:10:59,2025-05-23 03:29:46,2025-05-23 03:40:45
java,MainCLI,4,full,demain,0:11:34,2025-05-23 03:55:45,2025-05-23 04:07:19
java,MainCLI,8,full,demain,0:06:13,2025-05-23 02:47:02,2025-05-23 02:53:15
java,MainCLI,8,full,demain,0:06:18,2025-05-23 03:08:15,2025-05-23 03:14:33
java,MainCLI,16,full,demain,0:03:12,2025-05-23 02:10:19,2025-05-23 02:13:31
java,MainCLI,16,full,demain,0:03:18,2025-05-23 02:28:31,2025-05-23 02:31:49
java,MainCLI,32,full,demain,0:01:45,2025-05-23 01:36:29,2025-05-23 01:38:14
java,MainCLI,32,full,demain,0:01:47,2025-05-23 01:53:14,2025-05-23 01:55:01
java,MainCLI,64,full,demain,0:00:57,2025-05-29 01:42:40,2025-05-29 01:43:37
java,MainCLI,64,full,demain,0:00:58,2025-05-29 01:58:37,2025-05-29 01:59:35
java,MainCLI,1,full,sequential,0:42:32,2025-05-23 17:30:45,2025-05-23 18:13:17
java,MainCLI,1,full,sequential,0:42:16,2025-05-23 18:28:17,2025-05-23 19:10:33
java,MainCLI,2,full,sequential,0:21:56,2025-05-23 16:16:34,2025-05-23 16:38:30
java,MainCLI,2,full,sequential,0:22:01,2025-05-23 16:53:30,2025-05-23 17:15:31
java,MainCLI,4,full,sequential,0:11:57,2025-05-23 15:22:44,2025-05-23 15:34:41
java,MainCLI,4,full,sequential,0:11:39,2025-05-23 15:49:41,2025-05-23 16:01:20
java,MainCLI,8,full,sequential,0:06:09,2025-05-23 14:39:59,2025-05-23 14:46:08
java,MainCLI,8,full,sequential,0:06:22,2025-05-23 15:01:08,2025-05-23 15:07:30
java,MainCLI,16,full,sequential,0:03:24,2025-05-23 14:03:01,2025-05-23 14:06:25
java,MainCLI,16,full,sequential,0:03:20,2025-05-23 14:21:25,2025-05-23 14:24:45
java,MainCLI,32,full,sequential,0:01:47,2025-05-23 13:29:10,2025-05-23 13:30:57
java,MainCLI,32,full,sequential,0:01:51,2025-05-23 13:45:57,2025-05-23 13:47:48
java,MainCLI,64,full,sequential,0:01:18,2025-05-29 02:47:01,2025-05-29 02:48:19
java,MainCLI,64,full,sequential,0:01:04,2025-05-29 03:03:19,2025-05-29 03:04:23
java,MainCLI,1,full,spaced,0:42:21,2025-05-23 11:34:27,2025-05-23 12:16:48
java,MainCLI,1,full,spaced,0:42:09,2025-05-23 12:31:48,2025-05-23 13:13:57
java,MainCLI,2,full,spaced,0:22:08,2025-05-23 10:19:59,2025-05-23 10:42:07
java,MainCLI,2,full,spaced,0:22:07,2025-05-23 10:57:07,2025-05-23 11:19:14
java,MainCLI,4,full,spaced,0:11:46,2025-05-23 09:26:09,2025-05-23 09:37:55
java,MainCLI,4,full,spaced,0:11:50,2025-05-23 09:52:55,2025-05-23 10:04:45
java,MainCLI,8,full,spaced,0:06:12,2025-05-23 08:43:27,2025-05-23 08:49:39
java,MainCLI,8,full,spaced,0:06:17,2025-05-23 09:04:39,2025-05-23 09:10:56
java,MainCLI,16,full,spaced,0:03:20,2025-05-23 08:06:34,2025-05-23 08:09:54
java,MainCLI,16,full,spaced,0:03:20,2025-05-23 08:24:54,2025-05-23 08:28:14
java,MainCLI,32,full,spaced,0:01:45,2025-05-23 07:32:34,2025-05-23 07:34:19
java,MainCLI,32,full,spaced,0:02:02,2025-05-23 07:49:19,2025-05-23 07:51:21
java,MainCLI,64,full,spaced,0:00:59,2025-05-29 02:14:49,2025-05-29 02:15:48
java,MainCLI,64,full,spaced,0:01:00,2025-05-29 02:30:48,2025-05-29 02:31:48
