target,heavy_level
0,7.0000
1,6.0000
2,6.0000
3,7.0000
4,6.0000
5,6.0000
6,6.0000
7,7.0000
8,6.0000
9,7.0000
10,6.0000
11,7.0000
12,6.0000
13,6.0000
14,6.0000
15,7.0000
16,6.0000
17,6.0000
18,6.0000
19,7.0000
20,6.0000
21,6.0000
22,7.0000
23,7.0000
24,7.0000
25,7.0000
26,7.0000
27,6.0000
28,7.0000
29,6.0000
30,6.0000
31,6.0000
32,7.0000
33,7.0000
34,7.0000
35,7.0000
36,7.0000
37,6.0000
38,6.0000
39,6.0000
40,6.0000
41,6.0000
42,6.0000
43,7.0000
44,7.0000
45,7.0000
46,7.0000
47,6.0000
48,7.0000
49,6.0000
50,7.0000
51,7.0000
52,7.0000
53,7.0000
54,7.0000
55,7.0000
56,6.0000
57,6.0000
58,6.0000
59,7.0000
60,6.0000
61,6.0000
62,6.0000
63,6.0000
64,7.0000
65,7.0000
66,6.0000
67,6.0000
68,7.0000
69,6.0000
70,7.0000
71,7.0000
72,7.0000
73,6.0000
74,6.0000
75,7.0000
76,6.0000
77,7.0000
78,7.0000
79,7.0000
80,7.0000
81,6.0000
82,6.0000
83,7.0000
84,7.0000
85,6.0000
86,6.0000
87,7.0000
88,7.0000
89,6.0000
90,6.0000
91,6.0000
92,6.0000
93,7.0000
94,7.0000
95,6.0000
96,7.0000
97,7.0000
98,7.0000
99,7.0000
100,7.0000
101,7.0000
102,7.0000
103,7.0000
104,7.0000
105,7.0000
106,7.0000
107,6.0000
108,7.0000
109,6.0000
110,7.0000
111,6.0000
112,7.0000
113,6.0000
114,7.0000
115,7.0000
116,7.0000
117,6.0000
118,6.0000
119,6.0000
120,6.0000
121,7.0000
122,7.0000
123,7.0000
124,7.0000
125,6.0000
126,7.0000
127,7.0000
128,6.0000
129,6.0000
130,7.0000
131,7.0000
132,7.0000
133,7.0000
134,6.0000
135,6.0000
136,7.0000
137,6.0000
138,7.0000
139,6.0000
140,7.0000
141,6.0000
142,6.0000
143,6.0000
144,6.0000
145,7.0000
146,7.0000
147,6.0000
148,6.0000
149,7.0000
150,6.0000
151,7.0000
152,7.0000
153,7.0000
154,6.0000
155,7.0000
156,7.0000
157,6.0000
158,7.0000
159,7.0000
160,6.0000
161,7.0000
162,7.0000
163,7.0000
164,6.0000
165,7.0000
166,6.0000
167,6.0000
168,7.0000
169,7.0000
170,7.0000
171,6.0000
172,6.0000
173,6.0000
174,7.0000
175,7.0000
176,6.0000
177,6.0000
178,6.0000
179,6.0000
180,7.0000
181,7.0000
182,7.0000
183,6.0000
184,6.0000
185,7.0000
186,7.0000
187,7.0000
188,7.0000
189,7.0000
190,7.0000
191,6.0000
192,7.0000
193,6.0000
194,6.0000
195,6.0000
196,7.0000
197,7.0000
198,7.0000
199,7.0000
200,7.0000
201,7.0000
202,7.0000
203,6.0000
204,7.0000
205,6.0000
206,7.0000
207,7.0000
208,6.0000
209,6.0000
210,7.0000
211,6.0000
212,6.0000
213,7.0000
214,6.0000
215,7.0000
216,7.0000
217,6.0000
218,6.0000
219,6.0000
220,7.0000
221,6.0000
222,7.0000
223,7.0000
224,6.0000
225,6.0000
226,6.0000
227,7.0000
228,6.0000
229,7.0000
230,6.0000
231,7.0000
232,6.0000
233,6.0000
234,7.0000
235,7.0000
236,6.0000
237,6.0000
238,7.0000
239,6.0000
240,6.0000
241,6.0000
242,6.0000
243,6.0000
244,6.0000
245,7.0000
246,7.0000
247,6.0000
248,6.0000
249,6.0000
250,6.0000
251,7.0000
252,7.0000
253,7.0000
254,7.0000
255,6.0000
256,7.0000
257,6.0000
258,6.0000
259,6.0000
260,6.0000
261,6.0000
262,6.0000
263,6.0000
264,6.0000
265,7.0000
266,7.0000
267,7.0000
268,6.0000
269,7.0000
270,7.0000
271,6.0000
272,7.0000
273,7.0000
274,6.0000
275,7.0000
276,7.0000
277,6.0000
278,6.0000
279,6.0000
280,7.0000
281,6.0000
282,6.0000
283,7.0000
284,7.0000
285,6.0000
286,7.0000
287,6.0000
288,6.0000
289,6.0000
290,7.0000
291,6.0000
292,6.0000
293,7.0000
294,7.0000
295,6.0000
296,7.0000
297,6.0000
298,6.0000
299,6.0000
300,7.0000
301,6.0000
302,7.0000
303,7.0000
304,7.0000
305,6.0000
306,7.0000
307,6.0000
308,6.0000
309,6.0000
310,7.0000
311,7.0000
312,6.0000
313,7.0000
314,6.0000
315,7.0000
316,6.0000
317,7.0000
318,7.0000
319,7.0000
320,6.0000
321,6.0000
322,6.0000
323,6.0000
324,6.0000
325,6.0000
326,6.0000
327,6.0000
328,7.0000
329,6.0000
330,6.0000
331,6.0000
332,7.0000
333,6.0000
334,6.0000
335,6.0000
336,6.0000
337,7.0000
338,6.0000
339,7.0000
340,7.0000
341,6.0000
342,6.0000
343,7.0000
344,6.0000
345,6.0000
346,7.0000
347,7.0000
348,6.0000
349,6.0000
350,6.0000
351,7.0000
352,6.0000
353,7.0000
354,7.0000
355,6.0000
356,6.0000
357,7.0000
358,7.0000
359,6.0000
360,7.0000
361,6.0000
362,6.0000
363,6.0000
364,7.0000
365,6.0000
366,6.0000
367,6.0000
368,7.0000
369,7.0000
370,6.0000
371,6.0000
372,7.0000
373,6.0000
374,7.0000
375,6.0000
376,7.0000
377,7.0000
378,7.0000
379,6.0000
380,6.0000
381,6.0000
382,7.0000
383,6.0000
384,7.0000
385,6.0000
386,7.0000
387,6.0000
388,7.0000
389,6.0000
390,7.0000
391,6.0000
392,6.0000
393,7.0000
394,6.0000
395,7.0000
396,6.0000
397,6.0000
398,7.0000
399,6.0000
400,6.0000
401,6.0000
402,6.0000
403,6.0000
404,7.0000
405,6.0000
406,7.0000
407,7.0000
408,6.0000
409,7.0000
410,7.0000
411,7.0000
412,7.0000
413,6.0000
414,6.0000
415,6.0000
416,6.0000
417,6.0000
418,6.0000
419,7.0000
420,6.0000
421,7.0000
422,6.0000
423,7.0000
424,6.0000
425,7.0000
426,6.0000
427,6.0000
428,6.0000
429,6.0000
430,6.0000
431,7.0000
432,6.0000
433,7.0000
434,6.0000
435,6.0000
436,6.0000
437,7.0000
438,7.0000
439,6.0000
440,6.0000
441,6.0000
442,7.0000
443,6.0000
444,7.0000
445,6.0000
446,6.0000
447,7.0000
448,7.0000
449,7.0000
450,7.0000
451,6.0000
452,7.0000
453,7.0000
454,6.0000
455,7.0000
456,6.0000
457,7.0000
458,7.0000
459,6.0000
460,7.0000
461,6.0000
462,6.0000
463,7.0000
464,7.0000
465,6.0000
466,7.0000
467,7.0000
468,7.0000
469,7.0000
470,7.0000
471,7.0000
472,7.0000
473,6.0000
474,6.0000
475,7.0000
476,7.0000
477,6.0000
478,7.0000
479,6.0000
480,6.0000
